publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	medium 	monograph_parent_collection_title 	subject_area 	listprice_eur 	listprice_gbp 	listprice_usd 
Advances in Lightweight Materials and Structures	978-981-15-7826-7	978-981-15-7827-4							http://link.springer.com/10.1007/978-981-15-7827-4	Praveen Kumar	10.1007/978-981-15-7827-4		fulltext		Springer Singapore	monograph	2020	2020	8	1	Vyas	16157		P	Book	TestparnetCollection	Betriebswirtschaftslehre	416.55	5844.52	7019.59
Advanced Materials	978-3-030-45119-6	978-3-030-45120-2							http://link.springer.com/10.1007/978-3-030-45120-2	Parinov	10.1007/978-3-030-45120-2		fulltext		Springer International Publishing	monograph	2020	2020	6	1	Evenson	16157		P	Book	Testbooks	Betriebswirtschaftslehre	6564.88	2168.4	2956.37
Polymer Composites and Nanocomposites for X-Rays Shielding	978-981-13-9809-4	978-981-13-9810-0							http://link.springer.com/10.1007/978-981-13-9810-0	Low	10.1007/978-981-13-9810-0		fulltext		Springer Singapore	monograph	2020	2020		1	Premnath	16333		P	Book	Testing Study collection 	Betriebswirtschaftslehre	1458.82	9004.57	7984.57
Synthesis of Functional Nanomaterials for Electrochemical Energy Storage	978-981-13-7371-8	978-981-13-7372-5							http://link.springer.com/10.1007/978-981-13-7372-5	Pang	10.1007/978-981-13-7372-5		fulltext		Springer Singapore	monograph	2020	2020		1	Guo			P	Book	Test University Press	Volkswirtschaftslehre	4471.59	7019.2	6353.94
Theoretical Chemistry for Advanced Nanomaterials	978-981-15-0005-3	978-981-15-0006-0							http://link.springer.com/10.1007/978-981-15-0006-0	Onishi	10.1007/978-981-15-0006-0		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P	Book	TestparnetCollection	Betriebswirtschaftslehre	9235.02	322.37	2015.69
AFM-Based Observation and Robotic Nano-manipulation	978-981-15-0507-2	978-981-15-0508-9							http://link.springer.com/10.1007/978-981-15-0508-9	Yuan	10.1007/978-981-15-0508-9		fulltext		Springer Singapore	monograph	2020	2020		1	Shen			P	Book	Testbooks	Betriebswirtschaftslehre	7714.5	5802.84	1509.58
Ethnic Fermented Foods and Beverages of India: Science History and Culture	978-981-15-1485-2	978-981-15-1486-9							http://link.springer.com/10.1007/978-981-15-1486-9	Tamang	10.1007/978-981-15-1486-9		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P	Book	Testing Study collection 	Betriebswirtschaftslehre	6412.03	3046.86	2843.86
Novel Colloidal Forming of Ceramics	978-981-15-1871-3	978-981-15-1872-0							http://link.springer.com/10.1007/978-981-15-1872-0	Yang	10.1007/978-981-15-1872-0		fulltext		Springer Singapore	monograph	2020	2020		2	Guo			P	Book	Test University Press	Betriebswirtschaftslehre	9067.12	3616.77	6829.35
Corrosion Control Technologies for Aluminum Alloy Vessel	978-981-15-1931-4	978-981-15-1932-1							http://link.springer.com/10.1007/978-981-15-1932-1	Fang	10.1007/978-981-15-1932-1		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P	Book	TestparnetCollection	Betriebswirtschaftslehre	1200.04	3711.12	9919.3
Thermophysical Properties and Measuring Technique of Ge-Sb-Te Alloys for Phase Change Memory	978-981-15-2216-1	978-981-15-2217-8							http://link.springer.com/10.1007/978-981-15-2217-8	Lan	10.1007/978-981-15-2217-8		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P	Book	Testbooks	Betriebswirtschaftslehre	4460.92	7887.43	8059.71
Mathematical Physical Chemistry	978-981-15-2224-6	978-981-15-2225-3							http://link.springer.com/10.1007/978-981-15-2225-3	Hotta	10.1007/978-981-15-2225-3		fulltext		Springer Singapore	monograph	2020	2020		2	Koizumi			P	Book	Testing Study collection 	Betriebswirtschaftslehre	9246.59	6386.17	7161.74
Circularly Polarized Luminescence of Isolated Small Organic Molecules	978-981-15-2308-3	978-981-15-2309-0							http://link.springer.com/10.1007/978-981-15-2309-0	Mori	10.1007/978-981-15-2309-0		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P	Book	Test University Press	Betriebswirtschaftslehre	3664.97	8735.95	9239.67
Green Production of Carbon Nanomaterials in Molten Salts and Applications	978-981-15-2372-4	978-981-15-2373-1							http://link.springer.com/10.1007/978-981-15-2373-1	Kamali	10.1007/978-981-15-2373-1		fulltext		Springer Singapore	monograph	2020	2020		1	Huang			P	Book	TestparnetCollection	Betriebswirtschaftslehre	3721.71	9245.54	4858.02
Basic Concepts of Iron and Steel Making	978-981-15-2436-3	978-981-15-2437-0							http://link.springer.com/10.1007/978-981-15-2437-0	Dutta	10.1007/978-981-15-2437-0		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi			P	Book	Testbooks	Betriebswirtschaftslehre	4726.17	4584.32	206.89
Emerging Technologies in Food Science	978-981-15-2555-1	978-981-15-2556-8							http://link.springer.com/10.1007/978-981-15-2556-8	Thakur	10.1007/978-981-15-2556-8		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P	Book	Testing Study collection 	Betriebswirtschaftslehre	4293.02	7019.59	3241.99
The Beauty and Fascination of Science	978-981-15-2591-9	978-981-15-2592-6							http://link.springer.com/10.1007/978-981-15-2592-6	Buchachenko	10.1007/978-981-15-2592-6		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi			P	Book	Test University Press	Betriebswirtschaftslehre	7578.22	2956.37	1512.24
Dairy Processing: Advanced Research to Applications	978-981-15-2607-7	978-981-15-2608-4							http://link.springer.com/10.1007/978-981-15-2608-4	Minj	10.1007/978-981-15-2608-4		fulltext		Springer Singapore	monograph	2020	2020		1	Kahali			P	Book	TestparnetCollection	Betriebswirtschaftslehre	9287.06	7984.57	969.72
Handbook of Macrocyclic Supramolecular Assembly	978-981-15-2685-5	978-981-15-2686-2							http://link.springer.com/10.1007/978-981-15-2686-2	Liu	10.1007/978-981-15-2686-2		fulltext		Springer Singapore	monograph	2020	2020		1	Guo			P	Book	Testbooks	Betriebswirtschaftslehre	2277.31	6353.94	2808.63
