publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type	medium 	monograph_parent_collection_title 	subject_area 	listprice_eur 	listprice_gbp 	listprice_usd 
Ferroalloys	978-3-030-57501-4	978-3-030-57502-1							http://link.springer.com/10.1007/978-3-030-57502-1	Gasik	10.1007/978-3-030-57502-1		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	11054		P	Book	Test University Press	Betriebswirtschaftslehre	9245.54	6883.98	4320.52
Fibers for Technical Textiles	978-3-030-49223-6	978-3-030-49224-3							http://link.springer.com/10.1007/978-3-030-49224-3	Ahmad	10.1007/978-3-030-49224-3		fulltext		Springer International Publishing	monograph	2020	2020		1	Castro	11054		P	Book	TestparnetCollection	Volkswirtschaftslehre	4584.32	634.12	6700.42
Leather and Footwear Sustainability	978-981-15-6295-2	978-981-15-6296-9							http://link.springer.com/10.1007/978-981-15-6296-9	Muthu	10.1007/978-981-15-6296-9		fulltext		Springer Singapore	monograph	2020	2020		1	D'Silva	13111		P	Book	Testbooks	Betriebswirtschaftslehre	7019.59	1317.2	7457.27
Handbook of Smart Textiles		978-981-4451-68-0							http://link.springer.com/10.1007/978-981-4451-68-0	Tao	10.1007/978-981-4451-68-0		fulltext		Springer Singapore	monograph	2020	2020		0	Premnath			P	Book	Testing Study collection 	Betriebswirtschaftslehre	2956.37	9639.83	402.55
Aquatic Biopolymers	978-3-030-34708-6	978-3-030-34709-3							http://link.springer.com/10.1007/978-3-030-34709-3	Olatunji	10.1007/978-3-030-34709-3		fulltext		Springer International Publishing	monograph	2020	2020		1	Hollingworth	13173		P	Book	Test University Press	Betriebswirtschaftslehre	7984.57	5290.13	6481.52
Lignin	978-3-030-40662-2	978-3-030-40663-9							http://link.springer.com/10.1007/978-3-030-40663-9	Sharma	10.1007/978-3-030-40663-9		fulltext		Springer International Publishing	monograph	2020	2020		1	Hollingworth	13173		P	Book	TestparnetCollection	Betriebswirtschaftslehre	6353.94	1996.31	5114.75
Reinforcement of Rubber	978-981-15-3788-2	978-981-15-3789-9							http://link.springer.com/10.1007/978-981-15-3789-9	Kohjiya	10.1007/978-981-15-3789-9		fulltext		Springer Singapore	monograph	2020	2020		1	Koizumi	13173		P	Book	Testbooks	Betriebswirtschaftslehre	2015.69	5888.93	2648.01
Handbook of Ultrasonics and Sonochemistry		978-981-287-470-2							http://link.springer.com/10.1007/978-981-287-470-2	Ashokkumar	10.1007/978-981-287-470-2		fulltext		Springer Singapore	monograph	2020	2020		0	Premnath			P	Book	Testing Study collection 	Betriebswirtschaftslehre	1509.58	2684.1	5844.52
Handbook of Optical Fibers		978-981-10-1477-2							http://link.springer.com/10.1007/978-981-10-1477-2	Peng	10.1007/978-981-10-1477-2		fulltext		Springer Singapore	monograph	2020	2020		0	Premnath			P	Book	Test University Press	Betriebswirtschaftslehre	2843.86	1819.72	2168.4
Encyclopedia of Ionic Liquids		978-981-10-6739-6							http://link.springer.com/10.1007/978-981-10-6739-6	Zhang	10.1007/978-981-10-6739-6		fulltext		Springer Singapore	monograph	2020	2020		0	Guo			P	Book	TestparnetCollection	Betriebswirtschaftslehre	6829.35	8500.01	9004.57
Solar Energy	978-981-15-0674-1	978-981-15-0675-8							http://link.springer.com/10.1007/978-981-15-0675-8	Tyagi	10.1007/978-981-15-0675-8		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	15901		P	Book	Testbooks	Volkswirtschaftslehre	9919.3	3420.71	7019.2
Advances in Sustainable Polymers	978-981-15-1250-6	978-981-15-1251-3							http://link.springer.com/10.1007/978-981-15-1251-3	Katiyar	10.1007/978-981-15-1251-3		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P	Book	Testing Study collection 	Betriebswirtschaftslehre	8059.71	2310.17	322.37
Multiscale Modelling of Advanced Materials	978-981-15-2266-6	978-981-15-2267-3							http://link.springer.com/10.1007/978-981-15-2267-3	Kumari	10.1007/978-981-15-2267-3		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P	Book	Test University Press	Betriebswirtschaftslehre	7161.74	2508.14	5802.84
Revolution of Perovskite	978-981-15-1266-7	978-981-15-1267-4							http://link.springer.com/10.1007/978-981-15-1267-4	Arul	10.1007/978-981-15-1267-4		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P	Book	TestparnetCollection	Betriebswirtschaftslehre	9239.67	239.05	3046.86
Nanostructured Metal Oxides and Devices	978-981-15-3313-6	978-981-15-3314-3							http://link.springer.com/10.1007/978-981-15-3314-3	Jayaraj	10.1007/978-981-15-3314-3		fulltext		Springer Singapore	monograph	2020	2020		1	Vyas	16122		P	Book	Testbooks	Betriebswirtschaftslehre	4858.02	4320.52	3616.77
Functional Nanomaterials	978-981-15-4809-3	978-981-15-4810-9							http://link.springer.com/10.1007/978-981-15-4810-9	Thomas	10.1007/978-981-15-4810-9		fulltext		Springer Singapore	monograph	2020	2020		1	Meherishi	16122		P	Book	Testing Study collection 	Betriebswirtschaftslehre	206.89	6700.42	3711.12
Recent Advances in Thin Films	978-981-15-6115-3	978-981-15-6116-0							http://link.springer.com/10.1007/978-981-15-6116-0	Kumar	10.1007/978-981-15-6116-0		fulltext		Springer Singapore	monograph	2020	2020		1	Vyas	16122		P	Book	Test University Press	Betriebswirtschaftslehre	3241.99	7457.27	7887.43
3D Printing in Biomedical Engineering	978-981-15-5423-0	978-981-15-5424-7							http://link.springer.com/10.1007/978-981-15-5424-7	Singh	10.1007/978-981-15-5424-7		fulltext		Springer Singapore	monograph	2020	2020		1	Vyas	16122		P	Book	TestparnetCollection	Volkswirtschaftslehre	1512.24	402.55	6386.17
