publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_id	preceding_publication_title_id	access_type	supplement	title_change_history
Isozymes		978-0-444-42226-2							http://www.sciencedirect.com/science/bookseries/01687972/1/part/PA		9780444422262		Full text		Elsevier	Monograph	1983	2012-11-07	1		Steven D. Tanksley, Thomas J. Orton	01687972		P	Part A	
Isozymes		978-0-444-42227-9							http://www.sciencedirect.com/science/bookseries/01687972/1/part/PB		9780444422279		Full text		Elsevier	Monograph	1983	2012-11-05	1		Steven D. Tanksley, Thomas J. Orton	01687972		P	Part B	
Kuwaiti Plants		978-0-444-89215-7							http://www.sciencedirect.com/science/bookseries/09283420/2		9780444892157		Full text		Elsevier	Monograph	1991	2012-12-10	2		Brian S. Middleditch, Amer M. Amer	09283420		P		
Large Marine Ecosystems		1570-0461	2002	10					http://www.sciencedirect.com/science/bookseries/15700461		15700461		Full text		Elsevier	Serial								P		
Large Marine Ecosystems of the North Atlantic		978-0-444-51011-2							http://www.sciencedirect.com/science/bookseries/15700461/10		9780444510112		Full text		Elsevier	Monograph	2002	2007-09-02	10		Kenneth Sherman, Hein Rune Skjoldal	15700461		P		
Latin American Coral Reefs		978-0-444-51388-5							http://www.sciencedirect.com/science/book/9780444513885		9780444513885		Full text		Elsevier Science	Monograph	2003	2007-05-09			Jorge Cortés			P		
Long-Term Studies of Vertebrate Communities		978-0-12-178075-3							http://www.sciencedirect.com/science/book/9780121780753		9780121780753		Full text		Academic Press	Monograph	1996	2007-05-09			Martin L. Cody and Jeffrey A. Smallwood			P		
Major Cheese Groups		978-0-12-263653-0							http://www.sciencedirect.com/science/bookseries/1874558X/2		9780122636530		Full text		Academic Press	Monograph	2004	2007-09-02	2		Patrick F. Fox, Paul L.H. McSweeney, Timothy M. Cogan, Timothy P. Guinee	1874558X		P		
Marine Mammals (Second Edition)		978-0-12-088552-7							http://www.sciencedirect.com/science/book/9780120885527	Annalisa Berta, James L. Sumich, Kit M. Kovacs, Pieter Arend Folkens and Peter J. Adam	9780120885527		Full text		Academic Press	Monograph	2006	2007-05-09						P		
Marine Metapopulations		978-0-12-088781-1							http://www.sciencedirect.com/science/book/9780120887811		9780120887811		Full text		Academic Press	Monograph	2006	2007-09-02			Jacob P. Kritzer and Peter F. Sale			P		
Marketing Sugar and other Sweeteners		978-0-444-89150-1							http://www.sciencedirect.com/science/bookseries/09265589/9		9780444891501		Full text		Elsevier	Monograph	1991	2012-11-07	9		LEO C. POLOPOLUS, JOSE ALVAREZ	09265589		P		
Mathematical Modeling for System Analysis in Agricultural Research		978-0-444-51268-0							http://www.sciencedirect.com/science/book/9780444512680	Karel D. Vohnout	9780444512680		Full text		Elsevier Science	Monograph	2003	2007-05-09						P		
Matthews' Plant Virology (Fourth Edition)		978-0-12-361160-4							http://www.sciencedirect.com/science/book/9780123611604	Roger Hull	9780123611604		Full text		Academic Press	Monograph	2002	2007-05-09						P		
Meat Freezing		978-0-444-87463-4							http://www.sciencedirect.com/science/bookseries/01674501/20		9780444874634		Full text		Elsevier	Monograph	1989	2013-08-30	20		George Charalambous, BRAD W. BERRY, KATHLEEN F. LEDDY	01674501		P		
Medical and Veterinary Entomology		978-0-12-510451-7							http://www.sciencedirect.com/science/book/9780125104517		9780125104517		Full text		Academic Press	Monograph	2002	2007-05-09			Gary Mullen and Lance Durden			P		
Metabolic biochemistry		978-0-444-82082-2							http://www.sciencedirect.com/science/bookseries/18730140/4		9780444820822		Full text		Elsevier	Monograph	1995	2007-09-02	4		P.W. Hochachka, T.P. Mommsen	18730140		P		
Metapopulation Biology		978-0-12-323445-2							http://www.sciencedirect.com/science/book/9780123234452		9780123234452		Full text		Academic Press	Monograph	1997	2007-09-02			Ilkka Hanski and Michael E. Gilpin			P		
Methods in Applied Soil Microbiology and Biochemistry		978-0-12-513840-6							http://www.sciencedirect.com/science/book/9780125138406		9780125138406		Full text		Academic Press	Monograph	1995	2007-09-02			Kassem Alef and Paolo Nannipieri			P		
Mineral Nutrition of Higher Plants (Second Edition)		978-0-12-473542-2							http://www.sciencedirect.com/science/book/9780124735422	Horst Marschner	9780124735422		Full text		Academic Press	Monograph	1995	2007-09-02						P		
Molecular Systematics of Fishes		978-0-12-417540-2							http://www.sciencedirect.com/science/book/9780124175402		9780124175402		Full text		Academic Press	Monograph	1997	2007-09-02			Thomas D. Kocher and Carol A. Stepien			P		
Monitoring Vertebrate Populations		978-0-12-688960-4							http://www.sciencedirect.com/science/book/9780126889604	William L. Thompson, Gary C. White and Charles Gowan	9780126889604		Full text		Academic Press	Monograph	1998	2007-09-02						P		
More Efficient Utilization of Fish and Fisheries Products		978-0-08-044450-5							http://www.sciencedirect.com/science/bookseries/01674501/42		9780080444505		Full text		Elsevier	Monograph	2004	2007-09-02	42		M. Sakaguchi	01674501		P		
Multiple Criteria Analysis for Agricultural Decisions		978-0-444-50343-5							http://www.sciencedirect.com/science/bookseries/09265589/11		9780444503435		Full text		Elsevier	Monograph	2003	2007-09-02	11		Carlos Romero, Tahir Rehman	09265589		P		
Mycorrhizal Symbiosis (Second Edition)		978-0-12-652840-4							http://www.sciencedirect.com/science/book/9780126528404	Sally E Smith and David J Read	9780126528404		Full text		Academic Press	Monograph	1997	2007-05-09						P		
Natural Rubber		978-0-444-88329-2							http://www.sciencedirect.com/science/bookseries/0378519X/23		9780444883292		Full text		Elsevier	Monograph	1992	2012-11-05	23		M.R. Sethuraj, N.M. Mathew	0378519X		P		
Nature's Music		978-0-12-473070-0							http://www.sciencedirect.com/science/book/9780124730700		9780124730700		Full text		Academic Press	Monograph	2004	2007-05-09			Peter Marler and Hans Slabbekoorn			P		
Nitrogen Fixation at the Millennium		978-0-444-50965-9							http://www.sciencedirect.com/science/book/9780444509659		9780444509659		Full text		Elsevier Science	Monograph	2002	2007-05-09			G. Jeffery Leigh			P		
Non-Agricultural Applications of Soil Surveys		978-0-444-41199-0							http://www.sciencedirect.com/science/bookseries/01662481/4		9780444411990		Full text		Elsevier	Monograph	1974	2008-05-05	4		R.W. Simonson	01662481		P		
Novel Macromolecules in Food Systems		978-0-444-82932-0							http://www.sciencedirect.com/science/bookseries/01674501/41		9780444829320		Full text		Elsevier	Monograph	2000	2007-09-02	41		G. Doxastakis, V. Kiosseoglou	01674501		P		
Nutrient Metabolism		978-0-12-417762-8							http://www.sciencedirect.com/science/book/9780124177628	Martin Kohlmeier	9780124177628		Full text		Academic Press	Monograph	2003	2007-09-02						P		
Off-Flavors in Foods and Beverages		978-0-444-88558-6							http://www.sciencedirect.com/science/bookseries/01674501/28		9780444885586		Full text		Elsevier	Monograph	1992	2013-08-30	28		GEORGE CHARALAMBOUS	01674501		P		
Origin of Cultivated Rice		978-0-444-98919-2							http://www.sciencedirect.com/science/bookseries/0378519X/14		9780444989192		Full text		Elsevier	Monograph	1988	2012-11-05	14		H.I. Oka	0378519X		P		
Pedogenesis and Soil Taxonomy		978-0-444-42100-5							http://www.sciencedirect.com/science/bookseries/01662481/11/part/PA		9780444421005		Full text		Elsevier	Monograph	1983	2008-05-29	11		L.P. Wilding, N.E. Smeck, G.F. Hall	01662481		P	Part A	
Pedogenesis and Soil Taxonomy		978-0-444-42137-1							http://www.sciencedirect.com/science/bookseries/01662481/11/part/PB		9780444421371		Full text		Elsevier	Monograph	1983	2008-05-29	11		L.P. Wilding, N.E. Smeck, G.F. Hall	01662481		P	Part B	
Perspectives for Agronomy, Proceedings of the 4th Congress of the European Society for Agronomy		978-0-444-82852-1							http://www.sciencedirect.com/science/bookseries/0378519X/25		9780444828521		Full text		Elsevier	Monograph	1997	2007-09-02	25		M.K. van Ittersum, S.C van de Geijn	0378519X		P		
Phase Transitions in Foods		978-0-12-595340-5							http://www.sciencedirect.com/science/book/9780125953405	Yrjö H. Roos	9780125953405		Full text		Academic Press	Monograph	1995	2007-09-02						P		
Photoperiodism in Plants (Second Edition)		978-0-12-688490-6							http://www.sciencedirect.com/science/book/9780126884906	Brian Thomas and Daphne Vince-Prue	9780126884906		Full text		Academic Press	Monograph	1997	2007-05-09						P		
Phylogenetic and biochemical perspectives		978-0-444-89124-2							http://www.sciencedirect.com/science/bookseries/18730140/1		9780444891242		Full text		Elsevier	Monograph	1991	2012-11-05	1		P.W. Hochachka, T.P. Mommsen	18730140		P		
Physicochemical and Environmental Plant Physiology (Third Edition)		978-0-12-520026-4							http://www.sciencedirect.com/science/book/9780125200264	Park S. Nobel	9780125200264		Full text		Academic Press	Monograph	2005	2007-05-09						P		
Physiology of Woody Plants (Second Edition)		978-0-12-424162-6							http://www.sciencedirect.com/science/book/9780124241626		9780124241626		Full text		Academic Press	Monograph	1997	2007-11-09			Theodore T. Kozlowski and Stephen G. Pallardy			P		
Piperonyl Butoxide		978-0-12-286975-4							http://www.sciencedirect.com/science/book/9780122869754		9780122869754		Full text		Academic Press	Monograph	1999	2007-11-09			Denys Glynne Jones			P		
Plant Biochemistry		978-0-12-214674-9							http://www.sciencedirect.com/science/book/9780122146749		9780122146749		Full text		Academic Press	Monograph	1997	2007-05-09			P.M. Dey and J.B. Harborne			P		
Plant Biochemistry (Third Edition)		978-0-12-088391-2							http://www.sciencedirect.com/science/book/9780120883912	Hans-Walter Heldt and Fiona Heldt	9780120883912		Full text		Academic Press	Monograph	2005	2007-09-02						P		
Plant Cell Death Processes		978-0-12-520915-1							http://www.sciencedirect.com/science/book/9780125209151		9780125209151		Full text		Academic Press	Monograph	2004	2007-05-09			Larry D. Noodén			P		
Plant Energetics		978-0-12-427350-4							http://www.sciencedirect.com/science/book/9780124273504		9780124273504		Full text		Academic Press	Monograph	1998	2007-05-09			Octavian S. Ksenzhek and Alexander G. Volkov			P		
Plant Genetic Engineering Towards the Third Millennium, Proceedings of the International Symposium on Plant Genetic Engineering		978-0-444-50430-2							http://www.sciencedirect.com/science/bookseries/01687972/5		9780444504302		Full text		Elsevier	Monograph	2000	2007-09-02	5		Ariel D. Arencibia	01687972		P		
Plant Growth and Development: Hormones and Environment		978-0-12-660570-9							http://www.sciencedirect.com/science/book/9780126605709	Lalit M. Srivastava	9780126605709		Full text		Academic Press	Monograph	2002	2007-05-10						P		
Plant Resource Allocation		978-0-12-083490-7							http://www.sciencedirect.com/science/book/9780120834907		9780120834907		Full text		Academic Press	Monograph	1997	2007-09-28			Fakhri A. Bazzaz and John Grace			P		
Plant Stems		978-0-12-276460-8							http://www.sciencedirect.com/science/book/9780122764608		9780122764608		Full text		Academic Press	Monograph	1995	2007-09-02			Barbara L. Gartner			P		
Plant Tissue Culture		978-0-444-88883-9							http://www.sciencedirect.com/science/bookseries/0378519X/19		9780444888839		Full text		Elsevier	Monograph	1990	2012-11-05	19		S.S. Bhojwani	0378519X		P		
Plant Tissue Culture		978-0-444-81623-8							http://www.sciencedirect.com/science/bookseries/09283420/5		9780444816238		Full text		Elsevier	Monograph	1996	2007-09-02	5		S.S. Bhojwani, M.K. Razdan	09283420		P		
Polysaccharide Dispersions		978-0-12-733865-1							http://www.sciencedirect.com/science/book/9780127338651	Reginald H. Walter	9780127338651		Full text		Academic Press	Monograph	1998	2007-09-28						P		
Population Dynamics		978-0-12-159270-7							http://www.sciencedirect.com/science/book/9780121592707		9780121592707		Full text		Academic Press	Monograph	1995	2007-05-09			Naomi Cappuccino and Peter W. Price			P		
Population Limitation in Birds		978-0-12-517365-0							http://www.sciencedirect.com/science/book/9780125173650	Ian Newton	9780125173650		Full text		Academic Press	Monograph	1998	2007-05-09						P		
Postharvest Diseases of Fruits and Vegetables		978-0-444-50584-2							http://www.sciencedirect.com/science/book/9780444505842	Rivka Barkai-Golan	9780444505842		Full text		Elsevier	Monograph	2001	2007-05-09						P		
Preservation of Foods with Pulsed Electric Fields		978-0-12-078149-2							http://www.sciencedirect.com/science/book/9780120781492	Gustavo V. Barbosa-Cánovas, M. Marcela Góngora-Nieto, Usha R. Pothakamury and Barry G. Swanson	9780120781492		Full text		Academic Press	Monograph	1999	2007-09-02						P		
Principles of Salmonid Culture		978-0-444-82152-2							http://www.sciencedirect.com/science/bookseries/01679309/29		9780444821522		Full text		Elsevier	Monograph	1996	2007-09-02	29		William Pennell, Bruce A. Barton	01679309		P		
Principles of Soil and Plant Water Relations		978-0-12-409751-3							http://www.sciencedirect.com/science/book/9780124097513	M.B. Kirkham	9780124097513		Full text		Academic Press	Monograph	2005	2007-05-09						P		
Processes and Control of Plant Senescence		978-0-444-42521-8							http://www.sciencedirect.com/science/bookseries/0378519X/8		9780444425218		Full text		Elsevier	Monograph	1986	2012-11-07	8		YA'ACOV Y. LESHEM, ABRAHAM H. HALEVY, CHAIM FRENKEL	0378519X		P		
Production Rights in European Agriculture		978-0-444-50823-2							http://www.sciencedirect.com/science/book/9780444508232		9780444508232		Full text		Elsevier Science	Monograph	2001	2007-05-09			Denis Barthélemy and Jacques David			P		
Radio Tracking and Animal Populations		978-0-12-497781-5							http://www.sciencedirect.com/science/book/9780124977815		9780124977815		Full text		Academic Press	Monograph	2001	2007-09-02			Joshua J. Millspaugh and John M. Marzluff			P		
Redesigning Rice Photosynthesis to Increase Yield, Proceedings of the Workshop on the Quest to Reduce Hunger: Redesigning Rice Photosynthesis		978-0-444-50610-8							http://www.sciencedirect.com/science/bookseries/09283420/7		9780444506108		Full text		Elsevier	Monograph	2000	2007-09-02	7		J.E. Sheehy, P.L. Mitchell, B. Hardy	09283420		P		
Remote Sensing in Soil Science		978-0-444-42783-0							http://www.sciencedirect.com/science/bookseries/01662481/15		9780444427830		Full text		Elsevier	Monograph	1987	2008-05-05	15		M.A. Mulders	01662481		P		
Reproductive Allocation in Plants		978-0-12-088386-8							http://www.sciencedirect.com/science/book/9780120883868		9780120883868		Full text		Academic Press	Monograph	2005	2007-09-02			Edward G. Reekie and Fakhri A. Bazzaz			P		
Reproductive Biology of Bats		978-0-12-195670-7							http://www.sciencedirect.com/science/book/9780121956707		9780121956707		Full text		Academic Press	Monograph	2000	2007-09-02			Elizabeth G. Crichton and Philip H. Krutzsch			P		
Return to the River		978-0-12-088414-8							http://www.sciencedirect.com/science/book/9780120884148		9780120884148		Full text		Academic Press	Monograph	2006	2007-05-09			Richard N. Williams			P		
Scallops: Biology, Ecology and Aquaculture		978-0-444-50482-1							http://www.sciencedirect.com/science/bookseries/01679309/35		9780444504821		Full text		Elsevier	Monograph	2006	2007-09-02	35		Sandra E. Shumway, G. Jay Parsons	01679309		P		
Seeds		978-0-12-080260-9							http://www.sciencedirect.com/science/book/9780120802609	Carol C. Baskin and Jerry M. Baskin	9780120802609		Full text		Academic Press	Monograph	1998	2007-05-09						P		
Sensory Evaluation Practices (Third Edition)		978-0-12-672690-9							http://www.sciencedirect.com/science/book/9780126726909	Herbert Stone and Joel L. Sidel	9780126726909		Full text		Academic Press	Monograph	2004	2007-09-02						P		
Silicon in Agriculture		978-0-444-50262-9							http://www.sciencedirect.com/science/bookseries/09283420/8		9780444502629		Full text		Elsevier	Monograph	2001	2007-09-02	8		L.E. Datnoff, G.H. Snyder, G.H. Korndörfer	09283420		P		
Social Learning in Animals		978-0-12-273965-1							http://www.sciencedirect.com/science/book/9780122739651		9780122739651		Full text		Academic Press	Monograph	1996	2007-09-02			Cecilia M. Heyes and Bennett G. Galef, Jr.			P		
Soft Scale Insects their Biology, Natural Enemies and Control		978-0-444-89303-1							http://www.sciencedirect.com/science/bookseries/15724379/7/part/PA		9780444893031		Full text		Elsevier	Monograph	1997	2007-09-02	7		Yair Ben-Dov, Chris J. Hodgson	15724379		P	Part A	
Soft Scale Insects their Biology, Natural Enemies and Control		978-0-444-82843-9							http://www.sciencedirect.com/science/bookseries/15724379/7/part/PB		9780444828439		Full text		Elsevier	Monograph	1997	2007-09-02	7		Yair Ben-Dov, Chris J. Hodgson	15724379		P	Part B	
Soil Chemistry: A. Basic Elements		978-0-444-41435-9							http://www.sciencedirect.com/science/bookseries/01662481/5/part/PA		9780444414359		Full text		Elsevier	Monograph	1976	2008-07-24	5		G.H. Bolt, M.G.M. Bruggenwert	01662481		P	Part A	
Soil Chemistry: B. Physico-Chemical Models		978-0-444-42060-2							http://www.sciencedirect.com/science/bookseries/01662481/5/part/PB		9780444420602		Full text		Elsevier	Monograph	1979	2009-01-01	5		G.H. Bolt	01662481		P	Part B	
Soil Conservation and Silviculture		978-0-444-98792-1							http://www.sciencedirect.com/science/bookseries/01662481/23		9780444987921		Full text		Elsevier	Monograph	1994	2008-05-05	23		J. Dvořák, L. Novák	01662481		P		
Soil Erosion		978-0-444-99725-8							http://www.sciencedirect.com/science/bookseries/01662481/10		9780444997258		Full text		Elsevier	Monograph	1982	2008-05-29	10		Dušan Zachar	01662481		P		
Soil Liquid Phase Composition		978-0-444-50675-7							http://www.sciencedirect.com/science/book/9780444506757	V.V. Snakin, A.A. Prisyazhnaya and E. Kovács-Láng	9780444506757		Full text		Elsevier Science	Monograph	2001	2007-05-09						P		
Soil Micro-Morphology: A Basic and Applied Science, Proceedings of the VIIIth International Working Meeting of Soil Micromorphology		978-0-444-88302-5							http://www.sciencedirect.com/science/bookseries/01662481/19		9780444883025		Full text		Elsevier	Monograph	1990	2008-05-02	19		Lowell A. Douglas	01662481		P		
Soil Micromorpohlogy: Studies in Management and Genesis		978-0-444-89792-3							http://www.sciencedirect.com/science/bookseries/01662481/22		9780444897923		Full text		Elsevier	Monograph	1993	2008-05-02	22		A.J. Ringrose-Voase, G.S. Humphreys	01662481		P		
Soil Mineral-Organic Matter-Microorganism Interactions and Ecosystem Health		978-0-444-51038-9							http://www.sciencedirect.com/science/bookseries/01662481/28/part/P2		9780444510389		Full text		Elsevier	Monograph	2002	2007-09-02	28		A. Violante, P.M. Huang, J.-M. Bollag, L. Gianfreda	01662481		P	Part 2	
Soil Mineral-Organic Matter-Microorganism Interactions and Ecosystem Health, Dynamics, Mobility and Transformation of Pollutants and Nutrients		978-0-444-51039-6							http://www.sciencedirect.com/science/bookseries/01662481/28/part/PA		9780444510396		Full text		Elsevier	Monograph	2002	2007-09-02	28		A. Violante, P.M. Huang, J.-M. Bollag, L. Gianfreda	01662481		P	Part A	
Soil Organic Matter		978-0-444-41610-0							http://www.sciencedirect.com/science/bookseries/01662481/8		9780444416100		Full text		Elsevier	Monograph	1978	2008-05-05	8		M. Schnitzer, S.U. Khan	01662481		P		
Soil Organic Matter and Its Role in Crop Production		978-0-444-41017-7							http://www.sciencedirect.com/science/bookseries/01662481/3		9780444410177		Full text		Elsevier	Monograph	1973	2008-05-12	3		F.E. Allison	01662481		P		
Soil Physics With Basic		978-0-444-42557-7							http://www.sciencedirect.com/science/bookseries/01662481/14		9780444425577		Full text		Elsevier	Monograph	1985	2008-04-28	14		Gaylon S. Campbell	01662481		P		
Soil Quality for Crop Production and Ecosystem Health		978-0-444-81661-0							http://www.sciencedirect.com/science/bookseries/01662481/25		9780444816610		Full text		Elsevier	Monograph	1997	2007-09-02	25		E.G. Gregorich, M.R. Carter	01662481		P		
Soil Respiration and the Environment		978-0-12-088782-8							http://www.sciencedirect.com/science/book/9780120887828	Yiqi Luo and Xuhui Zhou	9780120887828		Full text		Academic Press	Monograph	2006	2007-09-02						P		
Soil, Fertilizer, and Plant Silicon Research in Japan		978-0-444-51166-9							http://www.sciencedirect.com/science/book/9780444511669	Jian Feng Ma and Eiichi Takahashi	9780444511669		Full text		Elsevier Science	Monograph	2002	2007-05-10						P		
Soils of Arid Regions		978-0-444-41439-7							http://www.sciencedirect.com/science/bookseries/01662481/6		9780444414397		Full text		Elsevier	Monograph	1976	2008-04-28	6		H.E. Dregne	01662481		P		
Soils on A Warmer Earth, Proceedings of an International Workshop on Effects of Expected Climate Change on Soil Processes in the Tropics and Sub-tropics		978-0-444-88838-9							http://www.sciencedirect.com/science/bookseries/01662481/20		9780444888389		Full text		Elsevier	Monograph	1990	2008-05-02	20		H.W. Scharpenseel, M. Schomaker, A. Ayoub	01662481		P		
Sperm Competition and Sexual Selection		978-0-12-100543-6							http://www.sciencedirect.com/science/book/9780121005436		9780121005436		Full text		Academic Press	Monograph	1998	2007-09-02			T.R. Birkhead and A.P. Møller			P		
Stable Isotopes and Biosphere  Atmosphere Interactions		978-0-12-088447-6							http://www.sciencedirect.com/science/book/9780120884476	L.B. Flanagan, J.R. Ehleringer and D.E. Pataki	9780120884476		Full text		Academic Press	Monograph	2005	2007-09-02						P		
Stock Identification Methods		978-0-12-154351-8							http://www.sciencedirect.com/science/book/9780121543518		9780121543518		Full text		Academic Press	Monograph	2005	2007-09-02			Steven X. Cadrin, Kevin D. Friedland and John R. Waldman			P		
Streams		978-0-12-050340-7							http://www.sciencedirect.com/science/book/9780120503407	Colbert E. Cushing and J. David Allan	9780120503407		Full text		Academic Press	Monograph	2001	2007-05-09						P		
Streams and Ground Waters		978-0-12-389845-6							http://www.sciencedirect.com/science/book/9780123898456		9780123898456		Full text		Academic Press	Monograph	2000	2007-09-02			Jeremy B. Jones and Patrick J. Mulholland			P		
Striped Bass and Other Morone Culture		978-0-444-82547-6							http://www.sciencedirect.com/science/bookseries/01679309/30		9780444825476		Full text		Elsevier	Monograph	1997	2007-09-02	30		Reginal M. Harrell	01679309		P		
Studies in Plant Science		0928-3420	1991	2					http://www.sciencedirect.com/science/bookseries/09283420		09283420		Full text		Elsevier	Serial								P		
Sturkie's Avian Physiology (Fifth Edition)		978-0-12-747605-6							http://www.sciencedirect.com/science/book/9780127476056		9780127476056		Full text		Academic Press	Monograph	2000	2007-05-09			G. Causey Whittow			P		
Subjective Equilibrium Theory of the Farm Household		978-0-444-42646-8							http://www.sciencedirect.com/science/bookseries/09265589/3		9780444426468		Full text		Elsevier	Monograph	1986	2012-11-07	3		CHIHIRO NAKAJIMA	09265589		P		
Submicroscopic Studies of Soils		978-0-444-42195-1							http://www.sciencedirect.com/science/bookseries/01662481/12		9780444421951		Full text		Elsevier	Monograph	1983	2008-04-29	12		E.B.A. Bisdom, J. Ducloux	01662481		P		
Sugarcane Improvement through Breeding		978-0-444-42769-4							http://www.sciencedirect.com/science/bookseries/0378519X/11		9780444427694		Full text		Elsevier	Monograph	1987	2013-09-26	11		Don J Heinz	0378519X		P		
Sustaining Large Marine Ecosystems		978-0-444-51026-6							http://www.sciencedirect.com/science/bookseries/15700461/13		9780444510266		Full text		Elsevier	Monograph	2005	2007-09-02	13		Timothy M. Hennessey, Jon G. Sutinen	15700461		P		
Taigu Genic Male-Sterile Wheat		978-0-444-42644-4							http://www.sciencedirect.com/science/bookseries/0378519X/9		9780444426444		Full text		Elsevier	Monograph	1987	2012-11-07	9		DENG JINGYANG	0378519X		P		
Terrestrial Global Productivity		978-0-12-505290-0							http://www.sciencedirect.com/science/book/9780125052900	Jacques Roy, Bernard Saugier and Harold A. Mooney	9780125052900		Full text		Academic Press	Monograph	2001	2007-09-02						P		
The Bamboos of the World		978-0-444-50020-5							http://www.sciencedirect.com/science/book/9780444500205	D. Ohrnberger	9780444500205		Full text		Elsevier	Monograph	1999	2007-05-09						P		
The Behaviour, Population Biology and Physiology of the Petrels		978-0-12-735415-6							http://www.sciencedirect.com/science/book/9780127354156	John Warham	9780127354156		Full text		Academic Press	Monograph	1996	2007-09-02						P		
The Biology and Control of Weeds in Sugarcane		978-0-444-41617-9							http://www.sciencedirect.com/science/bookseries/0378519X/4		9780444416179		Full text		Elsevier	Monograph	1984	2012-11-05	4		S.Y. Peng	0378519X		P		
The Character Concept in Evolutionary Biology		978-0-12-730055-9							http://www.sciencedirect.com/science/book/9780127300559		9780127300559		Full text		Academic Press	Monograph	2001	2007-05-09			Günter P. Wagner			P		
The Evolution of Adaptive Systems		978-0-12-134740-6							http://www.sciencedirect.com/science/book/9780121347406	James P. Brock	9780121347406		Full text		Academic Press	Monograph	2000	2007-09-02						P		
The Evolution of Plant Physiology		978-0-12-339552-8							http://www.sciencedirect.com/science/book/9780123395528		9780123395528		Full text		Academic Press	Monograph	2004	2007-09-02			Alan R. Hemsley and Imogen Poole			P		
The Fungi (Second Edition)		978-0-12-738445-0							http://www.sciencedirect.com/science/book/9780127384450	Michael J Carlile, Dr, Sarah C Watkinson and Graham W Gooday	9780127384450		Full text		Academic Press	Monograph	2001	2007-05-09						P		
The Global Forest Products Model		978-0-12-141362-0							http://www.sciencedirect.com/science/book/9780121413620	Joseph Buongiorno, Shushuai Zhu, Dali Zhang, James Turner and David Tomberlin	9780121413620		Full text		Academic Press	Monograph	2003	2007-05-09						P		
The Gulf of Guinea Large Marine Ecosystem		978-0-444-51028-0							http://www.sciencedirect.com/science/bookseries/15700461/11		9780444510280		Full text		Elsevier	Monograph	2002	2007-09-02	11		Jacqueline M. McGlade, Philippe Cury, Kwame A. Koranteng, Nicholas J. Hardman-Mountford	15700461		P		
The Knowledge Base for Fisheries Management		978-0-444-52850-6							http://www.sciencedirect.com/science/bookseries/01679309/36		9780444528506		Full text		Elsevier	Monograph	2006	2007-09-02	36		Lorenzo Motos, Douglas Clyde Wilson	01679309		P		
The Natural History of an Arctic Oil Field		978-0-12-701235-3							http://www.sciencedirect.com/science/book/9780127012353		9780127012353		Full text		Academic Press	Monograph	2000	2007-05-09			Joe C. Truett and Stephen R. Johnson			P		
The Nutrition Transition		978-0-12-153654-1							http://www.sciencedirect.com/science/book/9780121536541		9780121536541		Full text		Academic Press	Monograph	2002	2007-09-02			Benjamin Caballero and Barry M. Popkin			P		
The Origin and Evolution of Larval Forms		978-0-12-730935-4							http://www.sciencedirect.com/science/book/9780127309354		9780127309354		Full text		Academic Press	Monograph	1999	2007-05-09			Brian K. Hall and Marvalee H. Wake			P		
The Origins of Agriculture in the Lowland Neotropics		978-0-12-557180-7							http://www.sciencedirect.com/science/book/9780125571807	Dolores R. Piperno and Deborah M. Pearsall	9780125571807		Full text		Academic Press	Monograph	1998	2007-05-09						P		
Trace Elements in Plants		978-0-444-42320-7							http://www.sciencedirect.com/science/bookseries/0378519X/6		9780444423207		Full text		Elsevier	Monograph	1984	2012-11-07	6		M.YA. SHKOLNIK	0378519X		P		
Trace Elements in Soils		978-0-444-41511-0							http://www.sciencedirect.com/science/bookseries/01662481/7		9780444415110		Full text		Elsevier	Monograph	1977	2008-04-28	7		H. Aubert, M. Pinta	01662481		P		
Tropical Mariculture		978-0-12-210845-7							http://www.sciencedirect.com/science/book/9780122108457		9780122108457		Full text		Academic Press	Monograph	1998	2007-05-09			Sena S. De Silva			P		
Variation		978-0-12-088777-4							http://www.sciencedirect.com/science/book/9780120887774		9780120887774		Full text		Academic Press	Monograph	2005	2007-05-09			Benedikt Hallgrímsson and Brian K. Hall			P		
Vascular Transport in Plants		978-0-12-088457-5							http://www.sciencedirect.com/science/book/9780120884575		9780120884575		Full text		Academic Press	Monograph	2005	2007-09-17			N. Michele Holbrook and Maciej A. Zwieniecki			P		
Vertisols and Technologies for their Management		978-0-444-88789-4							http://www.sciencedirect.com/science/bookseries/01662481/24		9780444887894		Full text		Elsevier	Monograph	1996	2007-09-02	24		N. Ahmad, A. Mermut	01662481		P		
Vine and Wine Economy		978-0-444-98711-2							http://www.sciencedirect.com/science/bookseries/09265589/8		9780444987112		Full text		Elsevier	Monograph	1991	2012-11-07	8		E.P. BOTOS	09265589		P		
Virus-Insect-Plant Interactions		978-0-12-327681-0							http://www.sciencedirect.com/science/book/9780123276810		9780123276810		Full text		Academic Press	Monograph	2001	2007-09-02			Kerry F. Harris, Oney P. Smith and James E. Duffus			P		
Vital Soil		978-0-444-51772-2							http://www.sciencedirect.com/science/bookseries/01662481/29		9780444517722		Full text		Elsevier	Monograph	2004	2007-09-02	29		Peter Doelman, Herman J.P. Eijsackers	01662481		P		
