publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	notes	publisher_name	publication_type	date_monograph_published_print	date_monograph_published_online	monograph_volume	monograph_edition	first_editor	parent_publication_title_id	preceding_publication_title_id	access_type
Du Bois Review: Social Science Research on Race	1742-058X	1742-0598	2004-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DBR		DBR		fulltext		Cambridge University Press	Serial								P	
ESAIM: Control, Optimisation and Calculus of Variations	1292-8119	1262-3377	1996-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=COV		COV		fulltext		EDP Sciences	Serial								P	
ESAIM: Mathematical Modelling and Numerical Analysis	0764-583X	1290-3841	1999-01-01	33	01				http://journals.cambridge.org/action/displayBackIssues?jid=MZA		MZA		fulltext		EDP Sciences	Serial								P	
ESAIM: Probability and Statistics	1292-8100	1262-3318	1997-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=PSS		PSS		fulltext		EDP Sciences	Serial								P	
Early China	0362-5028	2325-2324	1975-09-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=EAC		EAC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EAC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Early Music History	0261-1279	1474-0559	1981-10-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=EMH		EMH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EMH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Earth and Environmental Science Transactions of the Royal Society of Edinburgh	1755-6910	1755-6929	1788-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=TRE		TRE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=TRE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
East Asian Journal on Applied Mathematics	2079-7362	2079-7370	2011-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EAM		EAM		fulltext		Cambridge University Press	Serial								P	
Ecclesiastical Law Journal	0956-618X	1751-8539	1987-07-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ELJ		ELJ		fulltext		Cambridge University Press	Serial								P	
Econometric Theory	0266-4666	1469-4360	1985-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ECT		ECT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ECT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Economics and Philosophy	0266-2671	1474-0028	1985-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EAP		EAP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EAP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Edinburgh Journal of Botany	0960-4286	1474-0036	1990-03-01	47	01				http://journals.cambridge.org/action/displayBackIssues?jid=EJB		EJB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EJB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Edinburgh Mathematical Notes	0950-1843	0950-1843	1909-04-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=MAN		MAN		fulltext		Cambridge University Press	Serial								P	
Eighteenth-Century Music	1478-5706	1478-5714	2004-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ECM		ECM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ECM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
English Language and Linguistics	1360-6743	1469-4379	1997-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ELL		ELL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ELL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
English Profile Journal	n/a	2041-5362	2010-09-20	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EPJ		EPJ		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EPJ&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
English Today	0266-0784	1474-0567	1985-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ENG		ENG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ENG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Enterprise & Society	1467-2227	1467-2235	2000-06-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=ESO		ESO		fulltext		Cambridge University Press	Serial								P	
Environment and Development Economics	1355-770X	1469-4395	1996-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EDE		EDE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EDE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Environmental Biosafety Research	1635-7922	1635-7930	2002-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EBS		EBS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EBS&tab=openaccess for available Open Access articles	EDP Sciences	Serial								P	
Environmental Conservation	0376-8929	1469-4387	1974-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ENC		ENC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ENC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Environmental Practice	1466-0466	1466-0474	1999-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ENP		ENP		fulltext		Cambridge University Press	Serial								P	
Epidemiologia e psichiatria sociale. Monograph Supplement	1827-4331		1997-04-01	6	S1	2004-09-01	13	S7	http://journals.cambridge.org/action/displayBackIssues?jid=EPX		EPX		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EPX&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Epidemiology & Infection	0950-2688	1469-4409	1901-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HYG		HYG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=HYG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Epidemiology and Psychiatric Sciences	2045-7960	2045-7979	1992-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EPS		EPS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EPS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							EPX	P	
Episteme	1742-3600	1750-0117	2004-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EPI		EPI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EPI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Equine and Comparative Exercise Physiology 	1478-0615	1479-070X	2004-02-01	1	01	2007-11-01	4	3-4	http://journals.cambridge.org/action/displayBackIssues?jid=ECP		ECP		fulltext		Cambridge University Press	Serial								P	
Ergodic Theory and Dynamical Systems	0143-3857	1469-4417	1981-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ETS		ETS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ETS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Ethics & International Affairs	0892-6794	1747-7093	1987-03-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=EIA		EIA		fulltext		Cambridge University Press	Serial								P	
European Astronomical Society Publications Series	1633-4760	1638-1963	2001-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=EAS		EAS		fulltext		EDP Sciences	Serial								P	
European Business Organization Law Review (EBOR)	1566-7529	1741-6205	2000-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EBR		EBR		fulltext		Cambridge University Press	Serial								P	
European Constitutional Law Review (EuConst)	1574-0196	1744-5515	2005-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ECL		ECL		fulltext		Cambridge University Press	Serial								P	
European Journal of Anaesthesiology	0265-0215	1365-2346	1996-02-01	13	02	2008-12-01	25	12	http://journals.cambridge.org/action/displayBackIssues?jid=EJA		EJA		fulltext		Cambridge University Press	Serial								P	
European Journal of Applied Mathematics	0956-7925	1469-4425	1990-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EJM		EJM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EJM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
European Journal of Phycology	0967-0262	1469-4433	1997-02-01	32	01	2002-11-01	37	04	http://journals.cambridge.org/action/displayBackIssues?jid=EJP		EJP		fulltext		Cambridge University Press	Serial								P	
European Journal of Sociology / Archives Européennes de Sociologie	0003-9756	1474-0583	1960-06-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EUR		EUR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EUR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
European Political Science Review	1755-7739	1755-7747	2009-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EPR		EPR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EPR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
European Review	1062-7987	1474-0575	1993-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ERW		ERW		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ERW&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
European Review of Economic History	1361-4916	1474-0044	1997-04-01	1	01	2011-12-01	15	03	http://journals.cambridge.org/action/displayBackIssues?jid=ERE		ERE		fulltext		Cambridge University Press	Serial								P	
Experimental Agriculture	0014-4797	1469-4441	1965-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=EAG		EAG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=EAG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Experimental Physiology	0958-0670	1469-445X	1997-11-01	82	06	2003-11-01	88	06	http://journals.cambridge.org/action/displayBackIssues?jid=EPH		EPH		fulltext		Cambridge University Press	Serial								P	
Expert Reviews in Molecular Medicine	n/a	1462-3994	1997-11-05	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ERM		ERM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ERM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Fetal and Maternal Medicine Review	0965-5395	1469-5065	1989-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=FMR		FMR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=FMR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Financial History Review	0968-5650	1474-0052	1994-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=FHR		FHR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=FHR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Foreign Policy Bulletin	1052-7036	1745-1302	1990-08-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=FPB		FPB		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=FPB&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Forum of Mathematics, Pi	2050-5086	2050-5086	2013-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=FMP		FMP		fulltext		Cambridge University Press	Serial								F	
Forum of Mathematics, Sigma	2050-5094	2050-5094	2013-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=FMS		FMS		fulltext		Cambridge University Press	Serial								F	
Fruits	0248-1294	1625-967X	2001-01-01	56	01				http://journals.cambridge.org/action/displayBackIssues?jid=FRU		FRU		fulltext		EDP Sciences	Serial								P	
Genetics Research	0016-6723	1469-5073	1960-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GRH		GRH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=GRH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Geological Magazine	0016-7568	1469-5081	1864-07-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GEO		GEO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=GEO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Glasgow Mathematical Journal	0017-0895	1469-509X	1952-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GMJ		GMJ		fulltext		Cambridge University Press	Serial								P	
Global Constitutionalism	2045-3817	2045-3825	2012-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GCN		GCN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=GCN&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Global Mental Health	2054-4251	2054-4251	2014-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=GMH		GMH		fulltext		Cambridge University Press	Serial								F	
Government and Opposition	0017-257X	1477-7053	1965-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GOV		GOV		fulltext		Cambridge University Press	Serial								P	
Greece & Rome	0017-3835	1477-4550	1931-10-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=GAR		GAR		fulltext		Cambridge University Press	Serial								P	
Hague Journal on the Rule of Law	1876-4045	1876-4053	2009-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ROL		ROL		fulltext		Cambridge University Press	Serial								P	
Harvard Theological Review	0017-8160	1475-4517	1908-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HTR		HTR		fulltext		Cambridge University Press	Serial								P	
Health Economics, Policy and Law	1744-1331	1744-134X	2006-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HEP		HEP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=HEP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Hegel Bulletin	2051-5367	2051-5375	1980-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HGL		HGL		fulltext		Cambridge University Press	Serial								P	
High Power Laser Science and Engineering	2095-4719	2052-3289	2013-03-10	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HPL		HPL		fulltext		Cambridge University Press	Serial								F	
History in Africa	0361-5413	1558-2744	1974-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=HIA		HIA		fulltext		Cambridge University Press	Serial								P	
Horizons	0360-9669	2050-8557	1974-09-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=HOR		HOR		fulltext		Cambridge University Press	Serial								P	
Industrial and Organizational Psychology	1754-9426	1754-9434	2008-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IOP		IOP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IOP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Infection Control & Hospital Epidemiology	0899-823X	1559-6834	1980-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ICE		ICE		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ICE&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International & Comparative Law Quarterly	0020-5893	1471-6895	1952-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ILQ		ILQ		fulltext		Cambridge University Press	Serial								P	
International Journal of Astrobiology	1473-5504	1475-3006	2002-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IJA		IJA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IJA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Journal of Cultural Property	0940-7391	1465-7317	1992-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JCP		JCP		fulltext		Cambridge University Press	Serial								P	
International Journal of Disability Management	1833-8550	1834-4887	2006-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IDM		IDM		fulltext		Cambridge University Press	Serial								P	
International Journal of Law in Context	1744-5523	1744-5531	2005-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IJC		IJC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IJC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Journal of Metrology and Quality Engineering	2107-6839	2107-6847	2010-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MQE		MQE		fulltext		EDP Sciences	Serial								P	
International Journal of Microwave and Wireless Technologies	1759-0787	1759-0795	2009-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MRF		MRF		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MRF&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Journal of Middle East Studies	0020-7438	1471-6380	1970-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=MES		MES		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=MES&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Journal of Technology Assessment in Health Care	0266-4623	1471-6348	1985-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=THC		THC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=THC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Journal of Tropical Insect Science	1742-7584	1742-7592	1980-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JTI		JTI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JTI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Labor and Working-Class History	0147-5479	1471-6445	1972-05-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=ILW		ILW		fulltext		Cambridge University Press	Serial								P	
International Organization	0020-8183	1531-5088	1947-02-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=INO		INO		fulltext		Cambridge University Press	Serial								P	
International Psychogeriatrics	1041-6102	1741-203X	1989-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IPG		IPG		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IPG&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
International Review for Social History	1873-0841	1873-0841	1936-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=IRS		IRS		fulltext		Cambridge University Press	Serial								P	
International Review of Poultry Science	1877-9654	1877-9654	1928-04-01	1	01	1940-07-01	13	1-2	http://journals.cambridge.org/action/displayBackIssues?jid=IPS		IPS		fulltext		Cambridge University Press	Serial								P	
International Review of Social History	0020-8590	1469-512X	1956-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ISH		ISH		fulltext		Cambridge University Press	Serial							BSH	P	
International Review of the Red Cross	1816-3831	1607-5889	1919-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=IRC		IRC		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IRC&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							BRC	P	
International Review of the Red Cross (1961 - 1997)	0020-8604	0020-8604	1961-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=RCE		RCE		fulltext		Cambridge University Press	Serial								P	
International Theory	1752-9719	1752-9727	2009-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=INT		INT		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=INT&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Iraq	0021-0889	2053-4744	1946-01-01	8					http://journals.cambridge.org/action/displayBackIssues?jid=IRQ		IRQ		fulltext		Cambridge University Press	Serial								P	
Irish Historical Studies	0021-1214	2056-4139	2010-05-01	37	145				http://journals.cambridge.org/action/displayBackIssues?jid=IHS		IHS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IHS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Irish Journal of Psychological Medicine	0790-9667	2051-6967	1989-03-01	6	01				http://journals.cambridge.org/action/displayBackIssues?jid=IPM		IPM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IPM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Israel Law Review	0021-2237	2047-9336	1992-12-01	26	01				http://journals.cambridge.org/action/displayBackIssues?jid=ISR		ISR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ISR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Italian Political Science Review / Rivista Italiana di Scienza Politica	0048-8402	2057-4908	2015-03-01	45	01				http://journals.cambridge.org/action/displayBackIssues?jid=IPO		IPO		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=IPO&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Itinerario	0165-1153	2041-2827	1977-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=ITI		ITI		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=ITI&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Japanese Journal of Political Science	1468-1099	1474-0060	2000-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JJP		JJP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JJP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Advertising Research	0021-8499	1740-1909	1996-01-01	36	01	2005-12-01	45	04	http://journals.cambridge.org/action/displayBackIssues?jid=JAR		JAR		fulltext		Cambridge University Press	Serial								P	
Journal of African Law	0021-8553	1464-3731	1957-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JAL		JAL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JAL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Agricultural and Applied Economics	1074-0708	2056-7405	1969-12-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AAE		AAE		fulltext		Cambridge University Press	Serial								F	
Journal of American Studies	0021-8758	1469-5154	1967-04-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AMS		AMS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AMS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial							BMS	P	
Journal of Anatomy	0021-8782	1469-7580	1997-01-01	190	01	2001-12-01	199	06	http://journals.cambridge.org/action/displayBackIssues?jid=ANA		ANA		fulltext		Cambridge University Press	Serial								P	
Journal of Anglican Studies	1740-3553	1745-5278	2003-08-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=AST		AST		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=AST&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Applied Animal Nutrition	n/a	2049-257X	2012-01-01	1					http://journals.cambridge.org/action/displayBackIssues?jid=JAN		JAN		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JAN&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Benefit-Cost Analysis	2194-5888	2152-2812	2010-07-14	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=BCA		BCA		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=BCA&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Biosocial Science	n/a	1469-7599	1969-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JBS		JBS		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JBS&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of British Studies	0021-9371	1545-6986	1962-05-01	1	02				http://journals.cambridge.org/action/displayBackIssues?jid=JBR		JBR		fulltext		Cambridge University Press	Serial								P	
Journal of Child Language	0305-0009	1469-7602	1974-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JCL		JCL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JCL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Dairy Research	0022-0299	1469-7629	1929-11-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=DAR		DAR		fulltext		Cambridge University Press	Serial								P	
Journal of Demographic Economics	2054-0892	2054-0906	2011-03-01	77	01				http://journals.cambridge.org/action/displayBackIssues?jid=DEM		DEM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=DEM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Dentofacial Anomalies and Orthodontics	2110-5715		2008-03-01	11	01				http://journals.cambridge.org/action/displayBackIssues?jid=DAO		DAO		fulltext		EDP Sciences	Serial								P	
Journal of Developmental Origins of Health and Disease	2040-1744	2040-1752	2009-11-01	1	S1				http://journals.cambridge.org/action/displayBackIssues?jid=DOH		DOH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=DOH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Diagnostic Radiography and Imaging	1460-4728	1467-1123	2003-09-01	5	01				http://journals.cambridge.org/action/displayBackIssues?jid=JDR		JDR		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JDR&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Experimental Political Science	2052-2630	2052-2649	2014-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=XPS		XPS		fulltext		Cambridge University Press	Serial								P	
Journal of Financial and Quantitative Analysis	0022-1090	1756-6916	1966-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JFQ		JFQ		fulltext		Cambridge University Press	Serial								P	
Journal of Fluid Mechanics	0022-1120	1469-7645	1956-05-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=FLM		FLM		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=FLM&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of French Language Studies	0959-2695	1474-0079	1991-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JFL		JFL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JFL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Functional Programming	0956-7968	1469-7653	1991-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JFP		JFP		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JFP&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Germanic Linguistics	1470-5427	1475-3014	1989-01-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JGL		JGL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JGL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Global History	1740-0228	1740-0236	2006-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JGH		JGH		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JGH&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
Journal of Helminthology	0022-149X	1475-2697	1923-03-01	1	01				http://journals.cambridge.org/action/displayBackIssues?jid=JHL		JHL		fulltext	Hybrid Journal, see http://journals.cambridge.org/action/openAccessJournal?jid=JHL&tab=openaccess for available Open Access articles	Cambridge University Press	Serial								P	
